season,round,pick,team,pfr_player_id,pfr_player_name,position,college,allpro,probowls,seasons_started,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions
2006,6,170,HOU,LundWa00,Wali Lundy,RB,Virginia,0,0,1,14,124,476,4,1,1,29,0,33,33,204,0,0,0,-63,267,7,1
2006,6,195,CHI,RunnJ.00,J.D. Runnels,RB,Oklahoma,0,0,0,2,,,,,,,,,,,,,,,,,
2006,7,222,CLE,HamiJu20,Justin Hamilton,RB,Virginia Tech,0,0,0,12,,,,,,,,,,,,,,,,,
2006,7,240,PIT,,Cedric Humes,RB,Virginia Tech,0,0,0,,,,,,,,,,,,,,,,,,
2006,7,246,TEN,GantQu00,Quinton Ganther,RB,Utah,0,0,0,36,81,277,3,0,0,16,0,17,19,151,0,0,0,-16,165,7,0
2007,1,7,MIN,PeteAd01,Adrian Peterson,RB,Oklahoma,4,7,12,184,3664,16625,134,46,26,792,1,390,485,3196,6,11,6,172,3009,132,0
2007,1,12,BUF,LyncMa00,Marshawn Lynch,RB,California,1,5,8,149,2664,11394,97,23,13,566,2,301,387,2366,9,7,4,107,2417,104,0
2007,2,49,CIN,,Kenny Irons,RB,Auburn,0,0,0,,,,,,,,,,,,,,,,,,
2007,2,50,TEN,HenrCh01,Chris Henry,RB,Arizona,0,0,0,11,33,122,2,0,0,5,0,126,137,1945,21,2,1,1288,432,86,0
2007,2,52,STL,LeonBr00,Brian Leonard,RB,Rutgers,0,0,0,88,225,864,0,0,0,50,0,151,185,1051,1,1,1,305,896,55,1
2007,2,63,GNB,JackBr00,Brandon Jackson,RB,Nebraska,0,0,1,54,371,1451,7,3,0,63,0,120,137,941,4,0,0,-39,995,47,1
2007,3,71,MIA,BookLo00,Lorenzo Booker,RB,Florida St.,0,0,0,36,61,230,0,2,1,13,0,47,54,362,0,1,1,105,299,20,0
2007,3,90,PHI,HuntTo01,Tony Hunt,RB,Penn St.,0,0,0,14,14,25,2,0,0,7,0,6,6,42,0,1,1,17,25,3,0
2007,3,93,CHI,WolfGa00,Garrett Wolfe,RB,Northern Illinois,0,0,0,50,72,282,1,0,0,13,0,11,12,129,0,1,0,-18,146,4,0
2007,4,100,OAK,BushMi00,Michael Bush,RB,Louisville,0,0,2,89,808,3248,29,4,4,160,0,104,128,1010,2,1,1,116,932,43,0
2007,4,107,NOR,PittAn00,Antonio Pittman,RB,Ohio St.,0,0,0,23,116,434,0,0,0,23,0,21,21,144,0,1,0,-20,164,5,0
